idx,name,symbol,quarks,Q,J,P,baryonnumber,leptonnumber,T,T_3,I,I_3,S,C,B,T.1,L_e,L_mu,L_tau
28,Proton,p,u u d,1,0.5,1,1,0,1.5,0.5,1.5,0.5,0,0,0,0,0,0,0
29,Neutron,n,u d d,0,0.5,1,1,0,1.5,-0.5,1.5,-0.5,0,0,0,0,0,0,0
30,Delta plus plus,\Delta^{++},u u u,2,1.5,1,1,0,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0
31,Delta plus,\Delta^+,u u d,1,1.5,1,1,0,1.5,0.5,1.5,0.5,0,0,0,0,0,0,0
32,Delta zero,\Delta^0,u d d,0,1.5,1,1,0,1.5,-0.5,1.5,-0.5,0,0,0,0,0,0,0
33,Delta minus,\Delta^-,d d d,-1,1.5,1,1,0,1.5,-1.5,1.5,-1.5,0,0,0,0,0,0,0
34,Lambda zero,\Lambda^0,u d s,0,0.5,1,1,0,1.5,0,1,0,1,0,0,0,0,0,0
35,Positive sigma,\Sigma^+,u u s,1,0.5,1,1,0,1,1,1,1,1,0,0,0,0,0,0
36,Neutral sigma,\Sigma^0,u d s,0,0.5,1,1,0,1,0,1,0,1,0,0,0,0,0,0
37,Negative xi,\Xi^-,s d s,-1,0.5,1,1,0,0.5,-0.5,0.5,-0.5,2,0,0,0,0,0,0
38,Neutral xi,\Xi_0,s u s,0,0.5,1,1,0,0.5,0.5,0.5,0.5,2,0,0,0,0,0,0
39,Omega minus,\Omega^-,s s s,-1,1.5,1,1,0,0,0,0,0,3,0,0,0,0,0,0
40,Charmed lambda,\Lambda_{C+},u d c,1,0.5,1,1,0,1,0,1,0,0,1,0,0,0,0,0
41,Charmed bottom,\Lambda_{b0},u d b,0,0.5,1,1,0,1,0,1,0,0,0,1,0,0,0,0
