idx,name,symbol,quarks,Q,J,P,baryonnumber,leptonnumber,T,T_3,I,I_3,S,C,B,T.1,L_e,L_mu,L_tau
0,Electron,e^-,-,-1,0.5,-1,0,1,0.5,-0.5,0,0,0,0,0,0,1,0,0
1,Electron neutrino,\nu_e,-,0,0.5,-1,0,1,0.5,0.5,0,0,0,0,0,0,1,0,0
2,Muon,\mu^-,-,-1,0.5,-1,0,1,0.5,-0.5,0,0,0,0,0,0,0,1,0
3,Muon neutrino,\nu_{\mu},-,0,0.5,-1,0,1,0.5,0.5,0,0,0,0,0,0,0,1,0
4,Tau,\tau^-,-,-1,0.5,-1,0,1,0.5,-0.5,0,0,0,0,0,0,0,0,1
5,Tau neutrino,\nu_{\tau},-,0,0.5,-1,0,1,0.5,0.5,0,0,0,0,0,0,0,0,1
6,Positron,e^+,-,1,0.5,-1,0,-1,0.5,0.5,0,0,0,0,0,0,-1,0,0
7,Anti Electron neutrino,\overline{\nu}_e,-,0,0.5,-1,0,-1,0.5,-0.5,0,0,0,0,0,0,-1,0,0
8,Anti Muon,\mu^+,-,1,0.5,-1,0,-1,0.5,0.5,0,0,0,0,0,0,0,-1,0
9,Anti Muon neutrino,\overline{\nu}_{\mu},-,0,0.5,-1,0,-1,0.5,-0.5,0,0,0,0,0,0,0,-1,0
10,Anti Tau,\tau^+,-,1,0.5,-1,0,-1,0.5,0.5,0,0,0,0,0,0,0,0,-1
11,Anti Tau neutrino,\overline{\nu}_{\tau},-,0,0.5,-1,0,-1,0.5,-0.5,0,0,0,0,0,0,0,0,-1
